rank,language,fname,packages,scripts,share,calls
1,R,length,Matrix,3268,0.3498,19746
2,R,names,raster,1954,0.2091,9549
3,R,rep,Matrix;memisc,1887,0.2020,10607
4,R,is.na,Matrix,1820,0.1948,9665
5,R,nrow,raster,1739,0.1861,8707
6,R,as.numeric,Matrix;memisc,1486,0.1590,7153
7,R,mean,Matrix;raster,1412,0.1511,11811
8,R,cbind,mice,1353,0.1448,6414
9,R,unique,memisc;raster,1245,0.1333,4856
10,R,rbind,mice,1233,0.1320,5373
11,R,which,Matrix,1067,0.1142,8233
12,R,ggplot,rms,985,0.1054,3589
13,R,as.character,memisc;raster,948,0.1015,3314
14,R,log,raster,855,0.0915,7139
15,R,ncol,raster,820,0.0878,4204
16,R,as.data.frame,raster,739,0.0791,2462
17,R,dim,Matrix;memisc,724,0.0775,2718
18,R,rnorm,stats,690,0.0739,2467
19,R,as.integer,Matrix;memisc,668,0.0715,2503
20,R,lm,stats,643,0.0688,3948
21,R,sample,memisc,638,0.0683,1678
22,R,as.matrix,Matrix;raster,620,0.0664,3137
23,R,merge,memisc;raster;sp,589,0.0630,2653
24,R,subset,raster,546,0.0584,3739
25,R,as.vector,Matrix;memisc;raster,518,0.0554,1985
26,R,diag,Matrix,466,0.0499,2099
27,R,head,Matrix;memisc;raster,446,0.0477,954
28,R,quantile,raster;stats,420,0.0450,2258
29,R,as.Date,zoo,416,0.0445,2075
30,R,runif,stats,413,0.0442,1018
31,R,match,raster,375,0.0401,981
32,R,as.factor,memisc;raster,374,0.0400,4321
33,R,ungroup,srvyr,346,0.0370,1144
34,R,sd,stats,343,0.0367,1493
35,R,lines,raster,342,0.0366,2237
36,Python,randn,numpy.random,316,0.0507,1590
37,R,as.list,raster,314,0.0336,580
38,R,levels,raster,275,0.0294,747
39,R,all.equal,Matrix;raster,256,0.0274,1027
40,Python,seed,numpy.random,252,0.0404,1036
41,R,felm,lfe,245,0.0262,2004
42,R,diff,Matrix,237,0.0254,720
43,Python,RandomState,numpy.random,230,0.0369,1047
44,R,foreach,memisc,225,0.0241,628
45,Python,rand,numpy.random,223,0.0358,1079
46,R,coordinates,raster;sp,219,0.0234,597
47,R,dimnames,Matrix;memisc;optmatch,210,0.0225,642
48,R,glm,stats,206,0.0220,1226
49,R,solve,Matrix,206,0.0220,1040
50,R,row.names,memisc,199,0.0213,612
51,R,sub,metafor,191,0.0204,396
52,R,tail,Matrix;memisc;raster,190,0.0203,359
53,R,text,raster,190,0.0203,837
54,R,pnorm,stats,188,0.0201,2338
55,R,median,stats,185,0.0198,1018
56,R,st_read,sf,185,0.0198,504
57,R,raster,raster,181,0.0194,386
58,R,rowSums,Matrix;raster,181,0.0194,611
59,R,st_as_sf,sf,170,0.0182,358
60,R,is.finite,Matrix,159,0.0170,388
61,R,cut,raster,156,0.0167,275
62,R,as.logical,Matrix,150,0.0161,308
63,R,st_crs,sf,149,0.0159,591
64,Python,randint,numpy.random,147,0.0236,389
65,R,CRS,sp,146,0.0156,352
66,R,as_tibble,srvyr,139,0.0149,314
67,R,unname,Matrix,136,0.0146,306
68,R,crossprod,Matrix,134,0.0143,857
69,R,fun,geosphere;raster,133,0.0142,696
70,R,st_transform,sf,133,0.0142,370
71,R,hist,raster,130,0.0139,394
72,R,colSums,Matrix;raster,129,0.0138,425
73,R,nlayers,raster,128,0.0137,288
74,R,colMeans,Matrix,125,0.0134,612
75,R,across,srvyr,124,0.0133,1052
76,R,coeftest,lmtest,120,0.0128,904
77,R,split,sp,120,0.0128,225
78,R,st_geometry,sf,118,0.0126,457
79,R,feols,fixest,117,0.0125,1054
80,R,qnorm,stats,117,0.0125,455
81,R,cor,stats,116,0.0124,288
82,R,st_sfc,sf,116,0.0124,584
83,R,is.factor,raster,115,0.0123,237
84,R,var,stats,114,0.0122,481
85,R,which.max,raster,108,0.0116,172
86,R,pull,srvyr,105,0.0112,389
87,R,proj4string,raster;sp,103,0.0110,308
88,R,weighted.mean,raster;stats,103,0.0110,591
89,R,vars,bayesplot;srvyr,101,0.0108,353
90,R,gridded,sp,100,0.0107,186
91,R,dnorm,stats,99,0.0106,267
92,R,getValues,raster,98,0.0105,458
93,Python,random,numpy.random,98,0.0157,565
94,R,which.min,raster,98,0.0105,282
95,R,image,Matrix;raster,93,0.0100,190
96,R,extent,raster,92,0.0098,222
97,R,rowMeans,Matrix,91,0.0097,354
98,R,canProcessInMemory,raster,87,0.0093,146
99,R,optim,stats,85,0.0091,151
100,Python,normal,numpy.random,84,0.0135,273
101,R,st_point,sf,84,0.0090,432
102,R,stack,raster,83,0.0089,139
103,R,spplot,raster;sp,82,0.0088,343
104,R,drop_na,srvyr,79,0.0085,175
105,R,blockSize,raster,78,0.0083,140
106,R,pbCreate,raster,78,0.0083,147
107,R,margin,randomForest,77,0.0082,322
108,R,ncell,raster,77,0.0082,199
109,R,setValues,raster,77,0.0082,170
110,R,drop,Matrix,76,0.0081,195
111,R,vcovHC,plm;sandwich,76,0.0081,445
112,R,SpatialPoints,sp,75,0.0080,123
113,R,detectCores,polycor,75,0.0080,89
114,R,spTransform,sp,75,0.0080,184
115,R,rbinom,stats,74,0.0079,171
116,Python,uniform,numpy.random,73,0.0117,194
117,R,is.infinite,Matrix,72,0.0077,170
118,R,pbStep,raster,72,0.0077,225
119,R,xyplot,mice,72,0.0077,247
120,R,init,raster,71,0.0076,229
121,R,mutate_at,srvyr,71,0.0076,284
122,R,double,memisc,70,0.0075,327
123,R,pbClose,raster,70,0.0075,137
124,R,style.tex,fixest,69,0.0074,142
125,R,writeStop,raster,69,0.0074,127
126,R,writeValues,raster,69,0.0074,204
127,R,pt,stats,67,0.0072,188
128,R,writeStart,raster,67,0.0072,130
129,R,brick,raster,66,0.0071,122
130,R,model.response,stats,66,0.0071,114
131,R,pchisq,stats,66,0.0071,177
132,R,trim,raster;sjmisc,65,0.0070,103
133,R,anova,lavaan;stats,64,0.0069,275
134,R,bbox,raster;sp,64,0.0069,191
135,Python,choice,numpy.random,64,0.0103,179
136,R,content,memisc,63,0.0067,126
137,Python,permutation,numpy.random,63,0.0101,86
138,R,st_as_sfc,sf,63,0.0067,204
139,R,transmute,srvyr,63,0.0067,131
140,R,chol,Matrix,61,0.0065,93
141,R,replace_na,sjmisc,61,0.0065,175
142,R,SpatialPolygons,sp,59,0.0063,129
143,R,crs,raster,59,0.0063,147
144,R,index,Matrix;plm;zoo,59,0.0063,414
145,R,Matrix,Matrix,58,0.0062,347
146,R,scale,metafor;raster,57,0.0061,384
147,R,st_polygon,sf,57,0.0061,172
148,R,writeRaster,raster,57,0.0061,79
149,R,Polygons,sp,56,0.0060,182
150,R,extract,PanelMatch;pastecs;raster;rstan;stringdist,56,0.0060,185
151,R,SpatialPointsDataFrame,sp,55,0.0059,73
152,R,SpatialPolygonsDataFrame,sp,55,0.0059,86
153,R,as.yearmon,zoo,55,0.0059,147
154,R,dist,stats,55,0.0059,206
155,R,lm_robust,estimatr,55,0.0059,471
156,R,qr,Matrix,55,0.0059,77
157,R,st_cast,sf,55,0.0059,241
158,R,st_intersection,sf,55,0.0059,89
159,R,mvrnorm,MASS,54,0.0058,94
160,R,st_sf,sf,54,0.0058,164
161,R,t.test,stats,54,0.0058,393
162,R,card,spdep,53,0.0057,109
163,R,ts,stats,53,0.0057,110
164,R,labels,memisc,52,0.0056,232
165,R,qt,stats,52,0.0056,157
166,R,Surv,rms;rstanarm;survival,51,0.0055,347
167,R,density,raster;stats,51,0.0055,339
168,R,st_bbox,sf,51,0.0055,171
169,R,st_linestring,sf,51,0.0055,198
170,R,Polygon,sp,50,0.0054,161
171,R,st_buffer,sf,50,0.0054,100
172,R,barplot,raster,49,0.0052,96
173,R,crop,raster,49,0.0052,96
174,R,lm.fit,stats,49,0.0052,87
175,R,read_sf,sf,49,0.0052,85
176,R,st_centroid,sf,49,0.0052,83
177,R,SpatialLines,sp,47,0.0050,63
178,R,tcrossprod,Matrix,47,0.0050,213
179,R,Lines,sp,46,0.0049,87
180,Python,minimize,scipy.optimize,46,0.0074,147
181,R,poly,stats,46,0.0049,1617
182,R,as.dendrogram,stats,45,0.0048,164
183,R,st_area,sf,45,0.0048,107
184,R,Diagonal,Matrix,43,0.0046,213
185,R,alpha,psych,43,0.0046,160
186,R,projection,raster,43,0.0046,97
187,R,Line,sp,42,0.0045,90
188,R,st_join,sf,42,0.0045,88
189,R,as.zoo,zoo,41,0.0044,147
190,R,hasValues,raster,41,0.0044,67
191,R,over,sp,41,0.0044,248
192,R,st_coordinates,sf,41,0.0044,63
193,R,.xts,xts,40,0.0043,379
194,R,bpy.colors,sp,40,0.0043,68
195,R,chol2inv,Matrix,40,0.0043,65
196,R,norm,Matrix,40,0.0043,82
197,R,qbeta,stats,39,0.0042,103
198,R,st_drop_geometry,sf,39,0.0042,94
199,R,as.xts,xts,38,0.0041,190
200,R,rexp,stats,38,0.0041,42
201,R,rpois,stats,38,0.0041,104
202,R,matchit,MatchIt,37,0.0040,94
203,R,vcovCL,sandwich,37,0.0040,261
204,Python,weibull,numpy.random,37,0.0059,38
205,R,xts,xts,37,0.0040,275
206,R,SpatialLinesDataFrame,sp,36,0.0039,41
207,R,lmer,lme4;lmerTest,36,0.0039,269
208,R,res,raster,36,0.0039,48
209,R,st_intersects,sf,36,0.0039,61
210,R,values,raster,36,0.0039,103
211,R,window,stats,35,0.0037,140
212,R,zoo,zoo,35,0.0037,175
213,R,is.projected,sp,34,0.0036,73
214,R,rasterTmpFile,raster,34,0.0036,69
215,R,spsample,sp,34,0.0036,77
216,R,st_geometrycollection,sf,34,0.0036,97
217,R,st_multilinestring,sf,34,0.0036,106
218,R,st_set_geometry,sf,34,0.0036,72
219,R,coxph,survival,33,0.0035,278
220,R,hclust,stats,33,0.0035,192
221,R,pbeta,stats,33,0.0035,99
222,R,st_multipolygon,sf,33,0.0035,71
223,R,st_write,sf,33,0.0035,158
224,R,mutate_all,srvyr,32,0.0034,65
225,R,optimize,stats,32,0.0034,63
226,R,rgamma,stats,32,0.0034,37
227,Python,shuffle,numpy.random,32,0.0051,69
228,R,st_multipoint,sf,32,0.0034,96
229,R,xmin,raster,32,0.0034,57
230,Python,LogisticRegression,sklearn.linear_model,31,0.0050,255
231,R,coredata,zoo,31,0.0033,204
232,R,geometry,sp,31,0.0033,49
233,R,ginv,MASS,31,0.0033,125
234,R,gridparameters,sp,31,0.0033,41
235,R,shift,raster,31,0.0033,151
236,R,st_distance,sf,31,0.0033,56
237,R,bind,raster,30,0.0032,56
238,R,getfe,lfe,30,0.0032,86
239,R,kronecker,Matrix,30,0.0032,179
240,R,linearHypothesis,car,30,0.0032,121
241,R,plm,plm,30,0.0032,327
242,R,st_is_longlat,sf,30,0.0032,79
243,R,summarise_all,srvyr,30,0.0032,64
244,R,.l,fixest,29,0.0031,30
245,R,boot,boot,29,0.0031,46
246,R,extension,raster,29,0.0031,72
247,R,foo,aod;raster;spatstat,29,0.0031,37
248,R,glm.nb,MASS,29,0.0031,138
249,R,mutate_if,srvyr,29,0.0031,45
250,R,persp,VGAM;raster,29,0.0031,61
251,R,pf,stats,29,0.0031,95
252,R,st_union,sf,29,0.0031,82
253,R,xres,raster,29,0.0031,65
254,R,xyFromCell,raster,29,0.0031,85
255,R,yres,raster,29,0.0031,61
256,R,GridTopology,sp,28,0.0030,39
257,R,cluster.vcov,multiwayvcov,28,0.0030,102
258,R,cv.glmnet,glmnet,28,0.0030,83
259,R,fixef,brms;fixest;lme4;nlme;plm;rstanarm,28,0.0030,104
260,R,multinom,mgcv;nnet,28,0.0030,68
261,R,qchisq,stats,28,0.0030,57
262,R,sandwich,sandwich,28,0.0030,37
263,R,setFixest_dict,fixest,28,0.0030,43
264,R,yFromRow,raster,28,0.0030,51
265,Python,LinearRegression,sklearn.linear_model,27,0.0043,137
266,R,cov,stats,27,0.0029,121
267,R,gt,sna,27,0.0029,30
268,R,pdata.frame,plm,27,0.0029,67
269,R,rmvnorm,mvtnorm,27,0.0029,177
270,R,units,Hmisc,27,0.0029,98
271,R,cellFromRowCol,raster,26,0.0028,75
272,R,describe,Hmisc;fields;psych;questionr,26,0.0028,90
273,R,integrate,stats,26,0.0028,119
274,R,ivreg,AER,26,0.0028,104
275,R,lag.listw,spdep,26,0.0028,88
276,R,order.dendrogram,stats,26,0.0028,79
277,R,percent,memisc,26,0.0028,176
278,R,sampleRegular,raster,26,0.0028,39
279,R,semi_join,srvyr,26,0.0028,40
280,R,st_make_valid,sf,26,0.0028,52
281,R,anti_join,srvyr,25,0.0027,47
282,R,compareRaster,raster,25,0.0027,41
283,R,enquo,srvyr,25,0.0027,60
284,R,fill,raster,25,0.0027,85
285,R,waldtest,lfe;lmtest;mlogit,25,0.0027,76
286,R,SpatialGrid,sp,24,0.0026,33
287,R,couldBeLonLat,raster,24,0.0026,26
288,R,dbWriteTable,sf,24,0.0026,37
289,R,inMemory,raster,24,0.0026,50
290,Python,ols,statsmodels,24,0.0039,32
291,R,rpart,rpart,24,0.0026,72
292,R,st_set_crs,sf,24,0.0026,51
293,R,sym,srvyr,24,0.0026,83
294,R,cutree,stats,23,0.0025,135
295,Python,default_rng,numpy.random,23,0.0037,42
296,R,fullgrid,sp,23,0.0025,88
297,R,rename_with,srvyr,23,0.0025,40
298,R,reorder,stats,23,0.0025,52
299,R,uniroot,stats,23,0.0025,45
300,R,ymax,raster,23,0.0025,43
301,R,acf,stats,22,0.0024,65
302,R,chkIDs,spdep,22,0.0024,35
303,R,fromDisk,raster,22,0.0024,37
304,R,get.spChkOption,spdep,22,0.0024,28
305,R,link,aod,22,0.0024,38
306,R,lme,nlme,22,0.0024,102
307,Python,ppf,scipy.stats,22,0.0035,97
308,R,start,stats,22,0.0024,50
309,R,time,stats,22,0.0024,99
310,R,within,memisc,22,0.0024,41
311,R,ymin,raster,22,0.0024,38
312,R,cellFromXY,raster,21,0.0022,41
313,R,deriv,stats,21,0.0022,85
314,R,determinant,Matrix,21,0.0022,46
315,R,hat,stats,21,0.0022,87
316,R,nb2listw,spdep,21,0.0022,54
317,R,readStart,raster,21,0.0022,47
318,R,readStop,raster,21,0.0022,47
319,R,sparseMatrix,Matrix,21,0.0022,40
320,R,st_zm,sf,21,0.0022,43
321,R,xFromCol,raster,21,0.0022,32
322,R,xmax,raster,21,0.0022,38
323,R,collect,memisc;srvyr,20,0.0021,103
324,R,contour,raster,20,0.0021,73
325,R,drop0,Matrix,20,0.0021,53
326,R,estfun,fixest;sandwich,20,0.0021,29
327,R,funs,srvyr,20,0.0021,75
328,R,match.data,MatchIt,20,0.0021,80
329,R,na.locf,zoo,20,0.0021,110
330,R,rchisq,stats,20,0.0021,34
331,R,rollmean,zoo,20,0.0021,36
332,R,rt,stats,20,0.0021,28
333,R,NeweyWest,sandwich,19,0.0020,84
334,R,dataType,raster,19,0.0020,55
335,R,delete.response,stats,19,0.0020,29
336,R,feglm,fixest,19,0.0020,40
337,R,getValuesBlock,raster,19,0.0020,40
338,R,is.leaf,stats,19,0.0020,59
339,R,printCoefmat,stats,19,0.0020,22
340,R,rescale,arm;psych,19,0.0020,91
341,R,show,Matrix;VGAM;arm;coin;lme4;memisc;optmatch;rstan;sp,19,0.0020,60
342,R,st_is_valid,sf,19,0.0020,61
343,R,as.array,Matrix;memisc;raster,18,0.0019,57
344,R,ave,stats,18,0.0019,40
345,R,boxplot,raster,18,0.0019,56
346,Python,cdf,scipy.stats,18,0.0029,174
347,R,end,stats,18,0.0019,53
